TTC_Lidar," TTC_Camera ( DetectorType = SHITOMASI, DescriptorType = BRISK)"," TTC_Camera(DetectorType = SIFT,  DescriptorType = SIFT)"," TTC_Camera(DetectorType = SHITOMASI,  DescriptorType = SIFT)"
12.9722,12.943,13.3717,13.0639
12.264,12.3445,14.78,12.6201
13.9161,13.4079,13.1739,18.3804
14.8865,12.561,18.1978,12.9209
12.1873,12.5574,14.7723,13.0927
7.50199,33.8072,10.6541,51.093
34.3404,11.1653,14.8154,11.6118
18.7875,49.0952,15.0608,34.5924
15.8894,11.2653,14.3484,11.2653
13.7297,12.5101,11.6912,13.1205
10.4914,11.1985,12.1314,11.2358
10.1,12.0958,11.8249,11.9654
9.22307,11.1144,10.4493,10.9561
10.9678,11.7236,9.67416,12.0086
8.09422,9.65331,10.4679,10.6921
8.81392,11.6681,9.18657,11.7852
10.2926,12.6356,8.68017,11.4487
8.30978,11.961,9.48347,10.3618
