TTC_Lidar," TTC_Camera(DetectorType = SHITOMASI,  DescriptorType = BRISK)","TTC_Camera(DetectorType = AKAZE,  DescriptorType = AKAZE)"," TTC_Camera(DetectorType = BRISK,  DescriptorType = SIFT)"
12.9722,12.943,13.4909,13.2591
12.264,12.3445,18.5575,17.6931
13.9161,13.4079,13.5769,13.8436
15.804,12.561,16.3527,13.6821
12.5951,12.5574,16.1885,25.2317
8.25109,33.8072,15.843,13.6074
20.986,11.1653,18.8779,10.5954
18.7875,49.0952,15.4278,17.4675
15.8894,11.2653,17.8539,12.8478
13.7297,12.5101,15.2153,12.498
10.4914,11.1985,12.9482,14.8705
10.1,12.0958,11.9297,11.3843
9.22307,11.1144,10.2777,10.5229
10.9678,11.7236,12.1806,15.4615
8.09422,9.65331,10.2424,11.6222
8.81392,11.6681,10.8375,10.8068
10.2926,12.6356,9.36522,10.6041
8.30978,11.961,8.9849,12.6701
